category_name,category_name_2,category_name_3,category_name_4,category_name_5,category_name_6,category_name_7,category_name_8,category_name_9,category_name_10,category_name_11,category_name_12
basic_math,"ad_hoc,2","implementatiom,2",,,,,,,,,
gcd,"basic_math,3","ad_hoc,5",,,,,,,,,
lcm,"basic_math,3","gcd,8","ad_hoc,5",,,,,,,,
prime_number,"basic_math,5","ad_hoc,5",,,,,,,,,
factorial,"basic_math,5","implementatiom,5","ad_hoc,5",,,,,,,,
modular_arithmetic,"basic_math,5","implementatiom,5",,,,,,,,,
big_mod,"basic_math,5","prime_number,3","modular_arithmetic,5","implementatiom,7",,,,,,,
divisor_theory,"basic_math,5","prime_number,5","implementatiom,7",,,,,,,,
digit_manipulation,"basic_math,7","ad_hoc,5","implementatiom,7",,,,,,,,
advanced_math,"basic_math,10","gcd,5","lcm,5","prime_number,7","factorial,5","divisor_theory,5",,,,,
modular_inverse,"basic_math,5","modular_arithmetic,8",,,,,,,,,
euler_theorem,"basic_math,8","modular_arithmetic,6",,,,,,,,,
factorization,"basic_math,3","prime_number,8",,,,,,,,,
euler_phi,"basic_math,2","sieve,5","factorization,2","euler_theorem,3",,,,,,,
sieve,"basic_math,5","prime_number,5","divisor_theory,5","implementatiom,7",,,,,,,
mobius_function,"basic_math,5","gcd,4","lcm,4","prime_number,3","sieve,3",,,,,,
chinese_remainder_theorem,"advanced_math,6","implementatiom,8",,,,,,,,,
miller_rabin_primality_test,"advanced_math,7","prime_number,3","sieve,3","modular_arithmetic,4","implementatiom,8",,,,,,
lucas_theorem,"advanced_math,8","sieve,3","prime_number,3","modular_arithmetic,4","implementatiom,8",,,,,,
extended_euclid,"advanced_math,6.5","euler_theorem,3","gcd,2","modular_arithmetic,3","implementatiom,8",,,,,,
diophantine_equation,"advanced_math,8","gcd,2","extended_euclid,5","implementatiom,8",,,,,,,
gaussian_elimination,"advanced_math,9.5","implementatiom,8",,,,,,,,,
pollard_rho,"advanced_math,9","miller_rabin_primality_test,7","sieve,3","prime_number,3","modular_arithmetic,2",,,,,,
basic_greedy_knowledge,"implementatiom,4","basic_stl,5",,,,,,,,,
interval_scheduling,,,,,,,,,,,
job_sequencing_problem,,,,,,,,,,,
stable_marriage,,,,,,,,,,,
basic_graph_knowledge,"implementatiom,3","basic_stl,8","recursion,7","stack,7","queue,7",,,,,,
bfs,"implementatiom,5","basic_graph_knowledge,7","recursion,7","stack,7","queue,8",,,,,,
dfs,"implementatiom,5","basic_graph_knowledge,7","recursion,7","stack,7","stack,8",,,,,,
graph_traversal,"implementatiom,5","bfs,5","dfs,5",,,,,,,,
flood_fill,"implementatiom,5","dfs,9",,,,,,,,,
tree_traversal,"implementatiom,5","basic_graph_knowledge,4","basic_tree_knowledge,5","dfs,5",,,,,,,
graph_coloring,"implementatiom,5","basic_math,6","bfs,5","dfs,5",,,,,,,
euler_circuit,"implementatiom,5","basic_graph_knowledge,8","bfs,5","dfs,5","basic_math,6",,,,,,
topological_sort,"implementatiom,5","basic_graph_knowledge,8","bfs,5","dfs,5","basic_math,6","basic_stl,7","queue,6",,,,
dijkstra,"implementatiom,6","dfs,8","basic_stl,7","priority_queue,8","stack,3",,,,,,
bellaman_ford,"implementatiom,6","dijkstra,7",,,,,,,,,
floyd_warshell,"implementatiom,6","dijkstra,7",,,,,,,,,
dag,"implementatiom,6.5","topological_sort,7",,,,,,,,,
maximum_bipartite_matching,"implementatiom,6","basic_graph_knowledge,8.5","bfs,8","dfs,8","dijkstra,7","basic_math,4",,,,,
max_flow,"implementatiom,6","basic_graph_knowledge,8.5","bfs,8","dfs,8","dijkstra,7","basic_math,4",,,,,
minimum_spanning_tree,"implementatiom,6","dijkstra,7","union_find,8","basic_math,6",,,,,,,
strongly_connected_component,"implementatiom,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
biconnected_component,"implementatiom,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
articulation_bridge,"implementatiom,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
articulation_point,"implementatiom,7","basic_graph_knowledge,8.5","bfs,8","dfs,8","basic_math,4","recursion,7",,,,,
two_sat,"implementatiom,7.5","basic_graph_knowledge,9","basic_math,8","basic_stl,7","bfs,8","dfs,8","dijkstra,7",,,,
min_cost_max_flow,"implementatiom,8","max_flow,8","bellaman_ford,8","dijkstra,8",,,,,,,
basic_stl,"implementatiom,3","ad_hoc,5",,,,,,,,,
stack,"implementatiom,3","ad_hoc,5","basic_stl,5",,,,,,,,
queue,"implementatiom,3","ad_hoc,5","basic_stl,5",,,,,,,,
priority_queue,"implementatiom,4","ad_hoc,5","basic_stl,5","queue,5","recursion,7",,,,,,
pbds,"implementatiom,3","ad_hoc,5","basic_stl,5","priority_queue,7","recursion,7",,,,,,
trie,"implementatiom,5","basic_stl,8","recursion,8",,,,,,,,
union_find,"implementatiom,5","queue,5","stack,5","basic_stl,5",,,,,,,
basic_tree_knowledge,"implementatiom,5","basic_graph_knowledge,3.5","basic_stl,8","recursion,7","stack,7",,,,,,
binary_search_tree,"implementatiom,5","recursion,8","basic_tree_knowledge,8",,,,,,,,
sqrt_decomposition,"implementatiom,7","basic_stl,8","stack,5","queue,5",,,,,,,
sparse_table,"implementatiom,8","basic_stl,8","basic_math,6","stack,5","queue,5",,,,,,
lowest_common_ancestor,"implementatiom,8","sparse_table,9",,,,,,,,,
mo_algorithm,"implementatiom,5","sqrt_decomposition,9",,,,,,,,,
segment_tree,"implementatiom,5","recursion,8","basic_stl,5","queue,5","stack,5","priority_queue,7",,,,,
binary_index_tree,"implementatiom,5","basic_math,9","basic_stl,5","queue,5","stack,5","priority_queue,7",,,,,
persistent_data_structure,"implementatiom,6","segment_tree,6","trie,6","basic_stl,5","queue,5","stack,5","priority_queue,7",,,,
centroid_decomposition,"implementatiom,7","segment_tree,6","trie,6","basic_stl,5","queue,5","stack,5","priority_queue,7","sparse_table,5",,,
heavy_light_decomposition,"implementatiom,7","segment_tree,6","trie,6","basic_stl,5","queue,5","stack,5","priority_queue,7","sparse_table,5",,,
treap,"implementatiom,9","segment_tree,8","trie,6","basic_stl,5","queue,5","stack,5","priority_queue,7","sparse_table,5",,,
splay_tree,"implementatiom,7","segment_tree,6","trie,6","basic_stl,5","queue,5","stack,5","priority_queue,7","sparse_table,5",,,
coin_change,"implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8",
knapsack,"coin_change,5","implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8"
maximum_subarray_sum,"implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8",
longest_increasing_subsequence,"implementatiom,7","basic_stl,5","inclusion_exclusion, 4","priority_queue,7","recursion,8","queue,5","stack,5","basic_math,5","basic_permutation_combination, 6","observation, 8",
longest_common_subsequence,"coin_change,7","knapsack,5",,,,,,,,,
edit_distance,"longest_common_subsequence, 7",,,,,,,,,,
bit_mask,"implementatiom,8","basic_math,9","coin_change,6","knapsack,6",,,,,,,
non_classical,"coin_change,6","knapsack,6","longest_increasing_subsequence,5","longest_common_subsequence,5","bit_mask,5",,,,,,
interval_dp,"non_classical,7","coin_change,7","knapsack,7","bit_mask,7",,,,,,,
component_dp,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7",,,,,,,
divide_and_conquere_optimization,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7","basic_math,10",,,,,,
knuth_optimization,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7","basic_math,10",,,,,,
convex_hull_trick,"non_classical,8","coin_change,7","knapsack,7","bit_mask,7","basic_math,10","convex_hull,5",,,,,
basic_permutation_combination,"basic_math,5","implementatiom,3","observation,5","ad_hoc,5",,,,,,,
star_and_bars_theorem,"basic_permutation_combination, 8","basic_math,5","observation,5",,,,,,,,
inclusion_exclusion,"basic_math,7","basic_permutation_combination, 8","observation,5",,,,,,,,
catalan_number,,,,,,,,,,,
derrangement,,,,,,,,,,,
sterling_number,,,,,,,,,,,
prufer_code,,,,,,,,,,,
burnside_lemma,,,,,,,,,,,
hashing,"basic_math,5","big_mod,6","modular_arithmetic,6","modular_inverse,6","basic_stl,8",,,,,,
z_algorithm,,,,,,,,,,,
kmp,,,,,,,,,,,
manachers_algorithm,,,,,,,,,,,
aho_corasick,,,,,,,,,,,
suffix_array,,,,,,,,,,,
basic_vector_geometry,,,,,,,,,,,
shape_area,,,,,,,,,,,
point_segment_distance,,,,,,,,,,,
picks_theorem,,,,,,,,,,,
segment_segment_intersection,,,,,,,,,,,
closest_pair_of_points,,,,,,,,,,,
shape_intersection,,,,,,,,,,,
convex_hull,,,,,,,,,,,
point_inside_polygon,,,,,,,,,,,
line_sweep,,,,,,,,,,,
rotating_callipers,,,,,,,,,,,
shape_rotation,,,,,,,,,,,
nim,,,,,,,,,,,
misere_nim,,,,,,,,,,,
bogus_nim,,,,,,,,,,,
staircase_nim,,,,,,,,,,,
grundy_number ,,,,,,,,,,,
hackenbush,,,,,,,,,,,
recursion,"implementatiom,5","ad_hoc,3","stack,4","basic_stl,5",,,,,,,
basic_backtracking,"implementatiom,5","ad_hoc,3","stack,4","basic_stl,5","recursion,7",,,,,,
binary_search,"basic_math,4","implementatiom,5","basic_stl,5","ad_hoc,2",,,,,,,
two_pointer,"implementatiom,5","observation,5","ad_hoc,5",,,,,,,,
sliding_window,"two_pointer, 7",,,,,,,,,,
ternary_search,"binary_search,8",,,,,,,,,,
meet_in_the_middle,"implementatiom,7","ad_hoc,4","stack,5","basic_stl,5","queue,5",,,,,,
josephus_problem,,,,,,,,,,,
dancing_links,,,,,,,,,,,
fft,,,,,,,,,,,
ad_hoc,,,,,,,,,,,
observation,"ad_hoc,5",,,,,,,,,,
implementatiom,"ad_hoc,8",,,,,,,,,,
math_calculation,"ad_hoc,5","observation,5",,,,,,,,,
pattern,"observation,5","ad_hoc,5","implementatiom,4",,,,,,,,