problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
Nauuo and Cards,,1173/C,4,2,,https://codeforces.com/contest/1173/problem/C,,"binary_search,7","basic_greedy_knowledge,6","implementation,6",
Maximum Median,,1201/C,4,2,,https://codeforces.com/contest/1201/problem/C,,"binary_search,7","basic_greedy_knowledge,6","basic_math,6",
Computer Game,,1183/C,3,,,https://codeforces.com/contest/1183/problem/C,,"binary_search,7","basic_math,6",,
Jenny and the Batteries,,gym/101628/problem/J,4,,,https://codeforces.com/gym/101628/problem/J,,"binary_search,7",,,
List Of Integers,,920/G,6,2,,https://codeforces.com/contest/920/problem/G,,"binary_search,7","basic_math,6","basic_permutation_combination,6","bit_manipulation,6"
New Year Snowmen,,140/C,5,,,https://codeforces.com/contest/140/problem/C,,"binary_search,7","basic_greedy_knowledge,6",,
Squares and not squares,,898/E,4,2,,https://codeforces.com/contest/898/problem/E,,"binary_search,7","basic_greedy_knowledge,6","constructive_algorithm,6",
K-Dominant Character,,888/C,3,2,,https://codeforces.com/contest/888/problem/C,,"binary_search,7","implementation,6","two_pointer,6",
Energy exchange,,68/B,3,,,https://codeforces.com/contest/68/problem/B,,"binary_search,7",,,
Guilty â€” to the kitchen!,,42/A,3,2,,https://codeforces.com/contest/42/problem/A,,"binary_search,7","implementation,6","basic_greedy_knowledge,6",
Photo Processing,,883/I,4,2,,https://codeforces.com/contest/883/problem/I,,"binary_search,7","non_classical_dp,5",,
Three Base Stations,,51/C,4.5,,,https://codeforces.com/contest/51/problem/C,,"binary_search,7","basic_greedy_knowledge,6",,
Road to Cinema,,729/C,4.5,,,https://codeforces.com/contest/729/problem/C,,"binary_search,7","basic_greedy_knowledge,6",,
Searching Rectangles,,714/D,7,,,https://codeforces.com/contest/714/problem/D,,"binary_search,7",,,
National Bomb Defusing Squad,,13150,4,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=5072,,"binary_search,7",,,
Leaving Auction,,749/D,5.5,,,https://codeforces.com/contest/749/problem/D,,"binary_search,7",,,
Rain Fall,,11692,4,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&page=show_problem&problem=2739,,"binary_search,7",,,
WiFi,,11516,3,,,https://onlinejudge.org/index.php?option=onlinejudge&Itemid=8&page=show_problem&problem=2511,,"binary_search,7",,,
Frodo and pillows,,760/B,3,,,https://codeforces.com/contest/760/problem/B,,"binary_search,7","basic_greedy_knowledge,6",,
Tree,,675/D,4,,,https://codeforces.com/contest/675/problem/D,,"binary_search,7",,,
Increasing numbers,,NDS,4,,,https://www.spoj.com/problems/NDS/,,"binary_search,7",,,
Changus Final Battle,,VECTAR4,3,,,https://www.spoj.com/problems/VECTAR4/,,"binary_search,7",,,
Cartons of milk,,767/D,5.5,2,,https://codeforces.com/contest/767/problem/D,,"binary_search,7","basic_greedy_knowledge,6","two_pointer,6",
Preorder Test,,627/D,8.5,2,,https://codeforces.com/contest/627/problem/D,,"binary_search,7","dfs,8","basic_greedy_knowledge,6","non_classical_dp,5"
String Game,,779/D,4,,,https://codeforces.com/contest/779/problem/D,,"binary_search,7",,,
Count The Indexes,,CNTINDX,4,,,https://www.spoj.com/problems/CNTINDX/,,"binary_search,7",,,
Orchestral scores,,13177,3.5,,,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=5088,,"binary_search,7",,,
Voltage Keepsake,,801/C,3,2,,https://codeforces.com/contest/801/problem/C,,"binary_search,7","basic_math,6",,
Magazine Ad,,803/D,3.5,2,,https://codeforces.com/contest/803/problem/D,,"binary_search,7","basic_greedy_knowledge,6",,
Success Rate,,807/C,3.5,2,,https://codeforces.com/contest/807/problem/C,,"binary_search,7","basic_math,6",,
Level Generation,,818/F,5.5,2,,https://codeforces.com/contest/818/problem/F,,"binary_search,7","ternary_search,7","basic_math,6",
Fire in the City,,845/E,6.5,,,https://codeforces.com/contest/845/problem/E,,"binary_search,7",,,
Math is Love,,MATHLOVE,2,,,https://www.spoj.com/problems/MATHLOVE/,,"binary_search,7",,,
Sabbir and Game,,SABBIRGAME,3,,,https://www.spoj.com/problems/SABBIRGAME/,,"binary_search,7",,,
Monitor,,846/D,4.5,,,https://codeforces.com/contest/846/problem/D,,"binary_search,7",,,
Coke madness,,RPLC,3,,,https://www.spoj.com/problems/RPLC/,,"binary_search,7",,,
Easy Calculation,,TRIGALGE,2,,,https://www.spoj.com/problems/TRIGALGE/,,"binary_search,7",,,
Shooting the balloons!,,ABA12E,4,,,https://www.spoj.com/problems/ABA12E/,,"binary_search,7",,,
Packmen,,847/E,4.5,2,,https://codeforces.com/contest/847/problem/E,,"binary_search,7","non_classical_dp,5",,
Shake Shake Shaky,,MAIN8_C,3,,,https://www.spoj.com/problems/MAIN8_C/,,"binary_search,7",,,
Factorial challenge,,FUNFACT,4,,,https://www.spoj.com/problems/FUNFACT/,,"binary_search,7",,,
Monitor,,16/C,3,,,https://codeforces.com/contest/16/problem/C,,"binary_search,7",,,
Stripe 2,,21/C,3,2,,https://codeforces.com/contest/21/problem/C,,"binary_search,7","non_classical_dp,5",,
Berland collider,,24/E,5,,,https://codeforces.com/contest/24/problem/E,,"binary_search,7",,,
Delivery Club,,875/E,7,2,,https://codeforces.com/contest/875/problem/E,,"binary_search,7","non_classical_dp,5",,