problem_name,problem_type,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4,
Ehab and a Special Coloring Problem,,1174/C,4.5,,,https://codeforces.com/contest/1174/problem/C,,"constructive_algorithm,8","gcd,5",,,
Nauuo and Chess,,1173/B,3,,,https://codeforces.com/contest/1173/problem/B,,"constructive_algorithm,8","basic_greedy_knowledge,6",,,
Print a 1337-string...,,1202/D,5,2,,https://codeforces.com/contest/1202/problem/D,,"constructive_algorithm,8","basic_permutation_combination,8","basic_math,6",,
Matching vs Independent Set,,1199/E,6,,,https://codeforces.com/contest/1199/problem/E,,"constructive_algorithm,8","basic_greedy_knowledge,6",,,
Tolik and His Uncle,,1180/D,5,,,https://codeforces.com/contest/1180/problem/D,,"constructive_algorithm,8",,,,
Prime Graph,,1178/D,4,2,,https://codeforces.com/contest/1178/problem/D,,"constructive_algorithm,8","basic_greedy_knowledge,6","basic_math,6",,
Vasya And Array,,1187/C,4.5,2,,https://codeforces.com/contest/1187/problem/C,,"constructive_algorithm,8","basic_greedy_knowledge,6","implementation,6",,
Divisibility,,922/F,6,2,,https://codeforces.com/contest/922/problem/F,,"constructive_algorithm,8","basic_greedy_knowledge,6","non_classical_dp,5","basic_math,6",
Jamie and Interesting Graph,,916/C,4,,,https://codeforces.com/contest/916/problem/C,,"constructive_algorithm,8",,,,
Escape,,148/B,3.5,,,https://codeforces.com/contest/148/problem/B,,"constructive_algorithm,8","basic_math,6",,,
AND-permutations,,909/F,7,,,https://codeforces.com/contest/909/problem/F,,"constructive_algorithm,8",,,,
Queue,,141/C,4.5,,,https://codeforces.com/contest/141/problem/C,,"constructive_algorithm,8","basic_greedy_knowledge,6",,,
Seating of Students,,907/D,5.5,,,https://codeforces.com/contest/907/problem/D,,"constructive_algorithm,8",,,,
Prime Permutation,,124/C,3,2,,https://codeforces.com/contest/124/problem/C,,"constructive_algorithm,8","prime_number,6","non_classical_dp,5","basic_greedy_knowledge,6","dfs,6"
Hobbits' Party,,125/C,3.5,,,https://codeforces.com/contest/125/problem/C,,"constructive_algorithm,8","basic_greedy_knowledge,6",,,
Hashing Trees,,902/C,4,,,https://codeforces.com/contest/902/problem/C,,"constructive_algorithm,8",,,,
Lucky String,,110/B,2.5,,,https://codeforces.com/contest/110/problem/B,,"constructive_algorithm,8",,,,
Marco and GCD Sequence,,894/C,4.5,,,https://codeforces.com/contest/894/problem/C,,"constructive_algorithm,8","basic_math,6",,,
Superset,,97/B,4,,,https://codeforces.com/contest/97/problem/B,,"constructive_algorithm,8",,,,
Domino,,85/A,3,,,https://codeforces.com/contest/85/problem/A,,"constructive_algorithm,8","implementation,6",,,
Polycarp's Picture Gallery,,81/D,4,,,https://codeforces.com/contest/81/problem/D,,"constructive_algorithm,8","basic_greedy_knowledge,6",,,
Dividing Island,,63/D,4.5,,,https://codeforces.com/contest/63/problem/D,,"constructive_algorithm,8",,,,
Safe cracking,,42/C,6,,,https://codeforces.com/contest/42/problem/C,,"constructive_algorithm,8",,,,
Journey,,43/D,5,,,https://codeforces.com/contest/43/problem/D,,"constructive_algorithm,8","implementation,6",,,
Little Frog,,53/C,2.5,,,https://codeforces.com/contest/53/problem/C,,"constructive_algorithm,8",,,,
Slava and tanks,,877/C,3.5,,,https://codeforces.com/contest/877/problem/C,,"constructive_algorithm,8",,,,
Fake News (medium),,802/H,5.5,,,https://codeforces.com/contest/802/problem/H,,"constructive_algorithm,8",,,,
Start of the season,,12/E,5.5,,,https://codeforces.com/contest/12/problem/E,,"constructive_algorithm,8",,,,
System Administrator,,22/C,4,,,https://codeforces.com/contest/22/problem/C,,"constructive_algorithm,8",,,,
Parquet,,26/C,5,2,,https://codeforces.com/contest/26/problem/C,,"constructive_algorithm,8","basic_greedy_knowledge,6","implementation,6","basic_permutation_combination,8",
3-cycles,,41/E,5,,,https://codeforces.com/contest/41/problem/E,,"constructive_algorithm,8","basic_greedy_knowledge,6",,,
Easter Eggs,,78/B,2,2,,https://codeforces.com/contest/78/problem/B,,"constructive_algorithm,8","implementation,6",,,
Lucky Sorting,,109/D,5,,,https://codeforces.com/contest/109/problem/D,,"constructive_algorithm,8",,,,