problem_name,problem_id,problem_difficulty,problem_significance,oj_name,source_link,solved_count,category_id_1,category_id_2,category_id_3,category_id_4
T-primes,230/B,3,,codechef,https://codeforces.com/problemset/problem/230/B,,"factorization,6","implementation,4",,
Divisors,DIV,3.5,,spoj,https://www.spoj.com/problems/DIV/,,"divisor_theory,5","factorization,5",,
Euler Totient Function,ETF,3.5,,spoj,https://www.spoj.com/problems/ETF/,,"prime_number,7","sieve,7",,
Game of Lines,LINES,5,,spoj,https://www.spoj.com/problems/LINES/,,"gcd,6","lcm,7",,
MARBLES,Marbles,3.5,,spoj,https://www.spoj.com/problems/MARBLES/,,"basic_permutation_combination,6","factorial,5",,
GCD,11417,1.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2412,,"gcd,6",,,
GCD LCM,11388,2,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2383,,"gcd,6","lcm,6",,
LCM Cardinality,10892,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1833,,"gcd,6","lcm,6",,
Simple division,10407,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1348,,"gcd,6","lcm,6",,
Maximum GCD,11827,2,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2927,,"gcd,6","lcm,6",,
Harmonic Mean,12068,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=3220,,"gcd,6","lcm,6",,
Prime Cuts,406,1,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=347,,"prime_number,7",,,
Goldbach's Conjecture,543,1.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=484,,"prime_number,7",,,
Prime Distance,10140,2,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1081,,"prime_number,7",,,
Jumping Champion,914,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=855,,"prime_number,7",,,
Summation of Four Primes,10168,2,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1109,,"prime_number,7",,,
Goldbach and Euler,10311,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1252,,"prime_number,7",,,
Twin Primes,10394,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1335,,"prime_number,7",,,
Factorial Frequencies,324,1,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=260,,"factorial,6",,,
500!,623,1,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=564,,"factorial,6",,,
Factorial! You Must be Kidding!!!,10323,1.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1264,,"factorial,6",,,
Prime Factors,583,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=524,,"factorization,6",,,
Prime Land,516,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=457,,"factorization,6",,,
Largest Prime Divisor,11466,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=2461,,"factorization,6",,,
Factovisors,10139,3.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1080,,"factorization,6",,,
Product of digits,993,3.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=934,,"factorization,6",,,
Perfect P-th Powers,10622,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1563,,"factorization,6",,,
Divisibility of Factors,10484,3.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1425,,"factorization,6",,,
Persistent Numbers,10527,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1468,,"factorization,6",,,
LCM,10680,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1621,,"factorization,6","lcm,6",,
Euclid Problem,10104,6,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1045,,"extended_euclid,7",,,
Marbles,10090,6,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1031,,"extended_euclid,7",,,
Rare Easy Problem,10633,6.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1574,,"extended_euclid,7",,,
Big Mod,374,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=310,,"big_mod,7",,,
Ones,10127,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1068,,"modular_arithmetic,6",,,
The Last Non-zero Digit.,10212,2.5,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1153,,"modular_arithmetic,6",,,
Boxes of Chocolates,10489,2.7,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1430,,"modular_arithmetic,6",,,
Ocean Deep! - Make it shallow!!,10176,3,,uva,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=24&page=show_problem&problem=1117,,"modular_arithmetic,6",,,