problem_name,problem_id,problem_difficulty,problem_difficulty_org,problem_significance,oj_name,source_link,solved_count,tried_count
Generating Palindromes,1033,3.62,9.30,lightoj,http://lightoj.com/volume_showproblem.php?problem=1033,1498,1518
One Unit Machine,1226,8.41,2.28,lightoj,http://lightoj.com/volume_showproblem.php?problem=1226,367,372
Pimp My Ride,1119,6.21,5.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1119,879,891
Scientific Experiment,1381,9.61,0.44,lightoj,http://lightoj.com/volume_showproblem.php?problem=1381,70,71
Throwing Dice,1064,6.96,4.30,lightoj,http://lightoj.com/volume_showproblem.php?problem=1064,692,702
Fast Bit Calculations,1032,6.01,5.69,lightoj,http://lightoj.com/volume_showproblem.php?problem=1032,913,928
"One Theorem, One Year",1298,8.60,1.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1298,288,293
A Refining Company,1036,7.40,3.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1036,568,578
The Specials Menu,1025,4.91,7.26,lightoj,http://lightoj.com/volume_showproblem.php?problem=1025,1164,1185
Digit Count,1122,4.75,7.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1122,1197,1219
Shelving Books,1283,8.11,2.36,lightoj,http://lightoj.com/volume_showproblem.php?problem=1283,378,385
Race to 1 Again,1038,5.49,6.31,lightoj,http://lightoj.com/volume_showproblem.php?problem=1038,1010,1029
Marbles,1050,7.03,3.93,lightoj,http://lightoj.com/volume_showproblem.php?problem=1050,629,641
Agent 47,1037,5.92,5.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1037,896,915
Batman,1159,5.99,5.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1159,873,893
Dice (II),1193,8.62,1.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1193,218,223
Strange Summation,1352,9.13,0.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1352,84,86
Help the Winners,1327,8.63,1.26,lightoj,http://lightoj.com/volume_showproblem.php?problem=1327,201,206
Neighbor House,1047,3.25,8.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1047,2066,2118
A Dangerous Maze,1027,3.89,8.65,lightoj,http://lightoj.com/volume_showproblem.php?problem=1027,1376,1412
Dice (I),1145,7.59,2.81,lightoj,http://lightoj.com/volume_showproblem.php?problem=1145,446,458
Be Efficient,1134,7.36,3.13,lightoj,http://lightoj.com/volume_showproblem.php?problem=1134,497,511
The Vindictive Coach,1173,8.20,1.76,lightoj,http://lightoj.com/volume_showproblem.php?problem=1173,279,287
Lighted Panels,1092,8.32,1.53,lightoj,http://lightoj.com/volume_showproblem.php?problem=1092,242,249
Race,1326,6.14,4.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1326,788,812
Monkeys on Twin Tower,1169,6.90,3.72,lightoj,http://lightoj.com/volume_showproblem.php?problem=1169,589,607
Painful Bases,1021,5.54,5.88,lightoj,http://lightoj.com/volume_showproblem.php?problem=1021,930,959
Arrange the Numbers,1095,6.65,4.05,lightoj,http://lightoj.com/volume_showproblem.php?problem=1095,641,661
Skyscraper,1360,8.24,1.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1360,224,231
Gone Fishing,1106,8.46,1.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1106,160,165
Software Company,1180,8.43,1.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1180,159,164
Aladdin and the Magical Sticks,1342,8.55,0.75,lightoj,http://lightoj.com/volume_showproblem.php?problem=1342,119,123
How Many Zeroes?,1140,5.63,5.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1140,876,906
The Queue,1382,7.53,2.35,lightoj,http://lightoj.com/volume_showproblem.php?problem=1382,371,384
Aladdin and the Game of Bracelets,1344,8.48,0.72,lightoj,http://lightoj.com/volume_showproblem.php?problem=1344,114,118
Anagram Division,1158,7.49,2.34,lightoj,http://lightoj.com/volume_showproblem.php?problem=1158,368,381
Independent Attacking Zones,1302,8.42,0.71,lightoj,http://lightoj.com/volume_showproblem.php?problem=1302,112,116
Fi Binary Number,1105,6.94,3.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1105,499,517
Testing Mailboxes,1223,8.20,0.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1223,156,162
Colored T-Shirts,1194,8.17,0.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1194,155,161
Neighbor House (II),1217,6.01,4.64,lightoj,http://lightoj.com/volume_showproblem.php?problem=1217,728,757
Divisible Group Sums,1125,6.32,4.06,lightoj,http://lightoj.com/volume_showproblem.php?problem=1125,637,663
Easy Game,1031,5.09,6.17,lightoj,http://lightoj.com/volume_showproblem.php?problem=1031,965,1006
Where to Run,1287,7.94,1.18,lightoj,http://lightoj.com/volume_showproblem.php?problem=1287,185,193
Counting Perfect BST,1170,6.53,3.60,lightoj,http://lightoj.com/volume_showproblem.php?problem=1170,562,587
Brush (III),1017,3.92,8.14,lightoj,http://lightoj.com/volume_showproblem.php?problem=1017,1271,1328
Palindrome Partitioning,1044,4.97,6.26,lightoj,http://lightoj.com/volume_showproblem.php?problem=1044,977,1021
Placing Lampposts,1230,7.95,0.94,lightoj,http://lightoj.com/volume_showproblem.php?problem=1230,147,154
Love Calculator,1013,3.94,8.05,lightoj,http://lightoj.com/volume_showproblem.php?problem=1013,1253,1313
Collecting Gold,1057,5.88,4.54,lightoj,http://lightoj.com/volume_showproblem.php?problem=1057,707,741
Winter,1084,7.09,2.33,lightoj,http://lightoj.com/volume_showproblem.php?problem=1084,362,380
ICPC Guards,1365,8.15,0.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1365,58,61
Fantasy Cricket,1299,7.77,0.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1299,154,162
Monkey Banana Problem,1004,3.31,8.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1004,3221,3392
Discovering Gold,1030,4.26,7.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1030,1141,1202
Thief,1200,6.38,3.44,lightoj,http://lightoj.com/volume_showproblem.php?problem=1200,533,562
Aladdin and the Happy Garden,1345,7.97,0.46,lightoj,http://lightoj.com/volume_showproblem.php?problem=1345,71,75
Colorful Board,1246,7.51,1.26,lightoj,http://lightoj.com/volume_showproblem.php?problem=1246,194,205
Maintaining Communities,1252,7.66,0.91,lightoj,http://lightoj.com/volume_showproblem.php?problem=1252,141,149
Coin Change (I),1231,3.38,8.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1231,1843,1950
Expected Cards,1364,7.59,1.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1364,154,163
Good or Bad,1051,5.47,4.94,lightoj,http://lightoj.com/volume_showproblem.php?problem=1051,761,806
e-Friends,1228,7.51,1.04,lightoj,http://lightoj.com/volume_showproblem.php?problem=1228,159,169
Rooks,1005,3.45,8.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1005,2377,2528
N Queen Again,1061,7.18,1.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1061,246,262
Tetromino,1376,7.94,0.10,lightoj,http://lightoj.com/volume_showproblem.php?problem=1376,15,16
Wavio Sequence,1421,6.61,2.59,lightoj,http://lightoj.com/volume_showproblem.php?problem=1421,396,423
Playing Cards,1329,7.68,0.48,lightoj,http://lightoj.com/volume_showproblem.php?problem=1329,73,78
Jogging Trails,1086,6.65,2.43,lightoj,http://lightoj.com/volume_showproblem.php?problem=1086,370,396
Genes in DNA,1334,7.04,1.61,lightoj,http://lightoj.com/volume_showproblem.php?problem=1334,245,263
nth Permutation,1060,5.97,3.67,lightoj,http://lightoj.com/volume_showproblem.php?problem=1060,557,599
Disable the Wand,1394,7.41,0.77,lightoj,http://lightoj.com/volume_showproblem.php?problem=1394,116,125
Marriage Ceremonies,1011,3.51,8.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1011,1861,2006
A Perfect Murder,1201,5.64,4.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1201,642,693
Halloween Costumes,1422,5.90,3.68,lightoj,http://lightoj.com/volume_showproblem.php?problem=1422,555,600
Corrupted Tax Department,1312,7.53,0.32,lightoj,http://lightoj.com/volume_showproblem.php?problem=1312,49,53
Baker Vai,1071,5.62,4.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1071,625,678
Investigation,1068,4.69,6.01,lightoj,http://lightoj.com/volume_showproblem.php?problem=1068,903,981
Grouping Friends,1264,7.11,0.99,lightoj,http://lightoj.com/volume_showproblem.php?problem=1264,149,162
Lighting System Design,1295,7.13,0.89,lightoj,http://lightoj.com/volume_showproblem.php?problem=1295,134,146
Farthest Nodes in a Tree (II),1257,3.90,7.57,lightoj,http://lightoj.com/volume_showproblem.php?problem=1257,1130,1235
Tiles (II),1270,7.12,0.79,lightoj,http://lightoj.com/volume_showproblem.php?problem=1270,118,129
Beating the Dataset,1274,7.13,0.70,lightoj,http://lightoj.com/volume_showproblem.php?problem=1274,104,115
Bar Codes,1191,6.05,2.98,lightoj,http://lightoj.com/volume_showproblem.php?problem=1191,436,486
Just another Robbery,1079,5.43,4.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1079,625,697
Looking for a Subsequence,1277,6.83,1.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1277,169,190
Subsequences forming Strings,1420,6.81,1.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1420,167,188
Planar Graph,1335,7.13,0.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1335,54,61
Brush (IV),1018,4.97,5.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1018,742,841
An Easy LCS,1110,4.36,6.52,lightoj,http://lightoj.com/volume_showproblem.php?problem=1110,932,1064
Building Twin Towers,1126,6.29,2.07,lightoj,http://lightoj.com/volume_showproblem.php?problem=1126,295,338
Coin Change (III),1233,5.25,4.47,lightoj,http://lightoj.com/volume_showproblem.php?problem=1233,627,729
Coin Change (II),1232,2.94,9.86,lightoj,http://lightoj.com/volume_showproblem.php?problem=1232,1380,1608
LCS Revisited,1157,6.16,2.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1157,311,367
Tiles (III),1310,6.84,0.55,lightoj,http://lightoj.com/volume_showproblem.php?problem=1310,75,90
Palindromic Numbers,1205,5.72,3.25,lightoj,http://lightoj.com/volume_showproblem.php?problem=1205,438,531
DNA Sequence,1073,6.31,1.80,lightoj,http://lightoj.com/volume_showproblem.php?problem=1073,233,294
Ordered Flips,1351,6.81,0.40,lightoj,http://lightoj.com/volume_showproblem.php?problem=1351,52,66
Tug of War,1147,6.09,2.27,lightoj,http://lightoj.com/volume_showproblem.php?problem=1147,286,371
A Wedding Party,1316,6.17,2.00,lightoj,http://lightoj.com/volume_showproblem.php?problem=1316,250,326
Save the Trees,1415,6.45,1.16,lightoj,http://lightoj.com/volume_showproblem.php?problem=1415,142,189
Superb Sequence,1416,6.71,0.37,lightoj,http://lightoj.com/volume_showproblem.php?problem=1416,44,60
Politeness,1399,6.66,0.42,lightoj,http://lightoj.com/volume_showproblem.php?problem=1399,48,68
Assassin`s Creed,1406,6.10,2.18,lightoj,http://lightoj.com/volume_showproblem.php?problem=1406,231,355
Electricity Connection,1362,6.70,0.15,lightoj,http://lightoj.com/volume_showproblem.php?problem=1362,14,24
The Party for the Rich,1431,6.70,0.24,lightoj,http://lightoj.com/volume_showproblem.php?problem=1431,2,39
